company,tier,job_count,avg_salary,median_salary,avg_experience,disclosed_salary_count,top_skills,salary_data_note
C42 Engineering India Pvt. Ltd.,Startup/Other,15,17.61,16.7,6.2,0,"Machine Learning, SQL, Agile, NoSQL, Git",estimated_only
cliqhr.com,Startup/Other,15,18.19,16.78,7.6,0,"SQL, Spark, Communication, Python, R",estimated_only
Corner Tree Consulting,Startup/Other,15,19.64,18.28,9.2,0,"Python, Azure, Machine Learning, Spark, Scala",estimated_only
Eli Lilly and Company,Startup/Other,15,13.36,11.82,5.4,0,"Agile, Data Visualization, NLP, Statistics, Python",estimated_only
TEKISHUB CONSULTING SERVICES PRIVATE LIMITED,Startup/Other,15,16.78,16.37,6.4,0,"AWS, SQL, Spark, Python, Azure",estimated_only
Optum,Startup/Other,14,18.15,17.12,8.4,0,"SQL, Spark, ETL, Python, Machine Learning",estimated_only
SAP India Pvt.Ltd,MNC/IT Services,14,14.36,14.9,6.9,0,"Machine Learning, Python, Java, SQL, NLP",estimated_only
Allegis Services India Pvt. Ltd.,Startup/Other,14,14.96,15.26,6.7,0,"SQL, Python, Data Modeling, Tableau, Data Visualization",estimated_only
Brillio,Startup/Other,14,16.64,16.66,6.6,0,"Spark, SQL, Python, Java, AWS",estimated_only
Talpro,Startup/Other,14,16.79,16.52,6.9,0,"Spark, Java, Python, SQL, NoSQL",estimated_only
Boston Consulting Group,Consulting,13,12.16,11.45,5.0,0,"SQL, Python, Excel, Machine Learning, Spark",estimated_only
Ziolite,Startup/Other,13,13.69,11.64,5.5,0,"SQL, Spark, Python, AWS, NoSQL",estimated_only
Jupiter.money,Startup/Other,13,13.15,12.06,5.5,0,"Machine Learning, Java, R, Scala, Spark",estimated_only
IHS Markit,Startup/Other,13,12.11,10.92,4.9,0,"Python, Communication, Spark, SQL, AWS",estimated_only
Nike India,Startup/Other,13,13.49,11.06,5.9,0,"Agile, Data Modeling, NoSQL, MongoDB, SQL",estimated_only
Kimberly-Clark Lever Limited,Startup/Other,13,18.29,17.62,9.5,0,"Agile, Data Modeling, SQL, Machine Learning, SAS",estimated_only
Vmware,Startup/Other,13,14.6,14.94,5.9,0,"Python, Tableau, Agile, Spark, Java",estimated_only
Seven Consultancy (HR Solution),Startup/Other,13,13.08,13.43,5.2,0,"Spark, Machine Learning, GCP, Statistics, Data Visualization",estimated_only
TresVista Financial,Startup/Other,13,5.19,4.11,1.3,0,"Communication, Excel, Power BI",estimated_only
