skill_pair,co_occurrences,avg_salary,salary_source
Java + Python,349,16.7,all_including_estimated
Python + Spark,667,16.69,all_including_estimated
ETL + Python,158,16.67,all_including_estimated
AWS + Scala,64,16.67,all_including_estimated
C++ + SQL,23,16.63,all_including_estimated
Data Modeling + Spark,78,16.62,all_including_estimated
Scala + Spark,276,16.59,all_including_estimated
AWS + Java,128,16.57,all_including_estimated
Machine Learning + R,120,16.56,all_including_estimated
Spark + Statistics,37,16.54,all_including_estimated
AWS + Airflow,46,16.54,all_including_estimated
AWS + Azure,128,16.53,all_including_estimated
GCP + SQL,101,16.52,all_including_estimated
Airflow + Python,58,16.52,all_including_estimated
Airflow + Scala,22,16.52,all_including_estimated
Azure + NoSQL,32,16.51,all_including_estimated
R + Statistics,3,16.5,disclosed_only
Airflow + NoSQL,9,16.49,all_including_estimated
ETL + SQL,238,16.49,all_including_estimated
Airflow + Spark,63,16.48,all_including_estimated
Data Modeling + R,22,16.48,all_including_estimated
NLP + TensorFlow,19,16.48,all_including_estimated
AWS + Kafka,39,16.48,all_including_estimated
Machine Learning + Python,421,16.47,all_including_estimated
APIs + Java,27,16.47,all_including_estimated
Communication + NoSQL,16,16.47,all_including_estimated
Data Visualization + NoSQL,5,16.46,all_including_estimated
SQL + Spark,641,16.46,all_including_estimated
AWS + NoSQL,67,16.45,all_including_estimated
NoSQL + R,11,16.43,all_including_estimated
Kafka + MongoDB,9,16.42,all_including_estimated
Java + SQL,221,16.4,all_including_estimated
Machine Learning + TensorFlow,49,16.4,all_including_estimated
Git + Machine Learning,46,16.4,all_including_estimated
Python + Scala,148,16.39,all_including_estimated
R + SAS,46,16.38,all_including_estimated
Airflow + Java,22,16.38,all_including_estimated
SQL + Scala,163,16.36,all_including_estimated
Data Visualization + Spark,31,16.36,all_including_estimated
Data Modeling + Machine Learning,47,16.35,all_including_estimated
Azure + Kafka,32,16.34,all_including_estimated
Statistics + TensorFlow,6,16.34,all_including_estimated
AWS + Docker,27,16.31,all_including_estimated
Machine Learning + Tableau,44,16.29,all_including_estimated
MongoDB + SQL,57,16.27,all_including_estimated
NoSQL + Scala,40,16.25,all_including_estimated
Machine Learning + NLP,104,16.23,all_including_estimated
Communication + Snowflake,8,16.23,all_including_estimated
C++ + Scala,10,16.22,all_including_estimated
AWS + Python,353,16.2,all_including_estimated
MongoDB + Spark,29,16.2,all_including_estimated
Python + SAS,60,16.19,all_including_estimated
Data Modeling + NoSQL,22,16.19,all_including_estimated
Airflow + Machine Learning,9,16.19,all_including_estimated
MATLAB + Machine Learning,19,16.18,all_including_estimated
AWS + R,15,16.17,all_including_estimated
Agile + Spark,87,16.17,all_including_estimated
Data Modeling + SQL,133,16.16,all_including_estimated
Python + TensorFlow,46,16.15,all_including_estimated
NLP + Power BI,5,16.15,all_including_estimated
AWS + SQL,247,16.14,all_including_estimated
APIs + R,6,16.13,all_including_estimated
Git + Spark,43,16.12,all_including_estimated
Communication + Machine Learning,35,16.1,all_including_estimated
Java + Tableau,22,16.1,all_including_estimated
Git + NLP,6,16.06,all_including_estimated
NumPy + SQL,12,16.06,all_including_estimated
Data Visualization + Scala,12,16.05,all_including_estimated
ETL + Git,12,16.03,all_including_estimated
Data Modeling + ETL,56,16.02,all_including_estimated
Data Visualization + SAS,9,16.01,all_including_estimated
Java + NoSQL,61,16.0,all_including_estimated
R + SQL,4,16.0,disclosed_only
Spark + Tableau,71,16.0,all_including_estimated
Machine Learning + SQL,197,16.0,all_including_estimated
Git + Scala,14,15.99,all_including_estimated
Agile + C++,5,15.99,all_including_estimated
Data Visualization + NLP,8,15.98,all_including_estimated
Data Modeling + Statistics,10,15.98,all_including_estimated
Machine Learning + SAS,39,15.98,all_including_estimated
Communication + Spark,80,15.97,all_including_estimated
Data Modeling + Java,17,15.97,all_including_estimated
NumPy + Pandas,21,15.92,all_including_estimated
GCP + Git,29,15.92,all_including_estimated
Agile + Data Modeling,47,15.91,all_including_estimated
Kafka + Python,64,15.89,all_including_estimated
Agile + Python,73,15.84,all_including_estimated
Pandas + Spark,15,15.81,all_including_estimated
Agile + ETL,52,15.81,all_including_estimated
Docker + Python,44,15.77,all_including_estimated
Data Visualization + Power BI,39,15.76,all_including_estimated
ETL + Power BI,26,15.7,all_including_estimated
Communication + Data Modeling,12,15.69,all_including_estimated
AWS + Tableau,36,15.68,all_including_estimated
Data Visualization + Java,12,15.67,all_including_estimated
APIs + Agile,13,15.67,all_including_estimated
Airflow + Git,5,15.63,all_including_estimated
NLP + NumPy,7,15.63,all_including_estimated
Agile + Tableau,12,15.61,all_including_estimated
Machine Learning + Statistics,137,15.61,all_including_estimated
Java + TensorFlow,5,15.59,all_including_estimated
Docker + Machine Learning,11,15.59,all_including_estimated
MATLAB + R,6,15.59,all_including_estimated
APIs + NoSQL,8,15.58,all_including_estimated
Airflow + SQL,60,15.57,all_including_estimated
Scala + Tableau,6,15.55,all_including_estimated
ETL + R,13,15.55,all_including_estimated
NoSQL + Tableau,11,15.55,all_including_estimated
Agile + Communication,47,15.54,all_including_estimated
Agile + SQL,136,15.53,all_including_estimated
